delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,middle_gamma,classification
502336,653335,1624,2720,1624,9077,4032,631601,1
118567,48796,16690,11229,16690,8469,2398,2137,1
273093,147050,13913,20742,36035,27915,3191,731550,0
137230,56162,17597,8668,8177,8105,13834,71327,0
332458,83165,26519,4420,26519,9563,945,122424,1
36779,23356,10348,7168,11281,7577,7414,413980,0
1215194,315369,269135,43678,269135,35896,5914,4234,0
86787,12965,2940,8407,2940,5390,3266,47110,0
1863582,154622,34601,21994,34601,42125,23258,23785,1
1283545,96224,103740,67332,103740,30810,24477,6897,0
34777,32302,27489,16941,27489,6006,3139,5941,0
1366190,110223,35268,12686,35268,16333,7202,672782,1
512227,235252,91068,18598,91068,14082,11103,22520,1
227724,31366,6714,6300,6714,1160,369,65352,1
1353486,301896,107619,52904,21470,40584,4217,883577,0
117484,43899,18095,9573,9871,8959,2861,69895,0
1174868,91035,6946,9236,6312,6599,2227,52524,0
1010119,68034,9203,14917,9203,7212,4784,1944,0
10377,19445,13424,3367,13424,8980,2580,18779,1
291383,102293,24432,2334,24432,6863,3765,3551,1
69741,72101,8979,10034,8979,3864,1564,1239,0
783311,168088,6144,15428,6144,7261,874,218521,1
431528,229734,40425,15779,32247,7250,15736,672783,0
108348,58733,9649,14802,9649,18436,15026,81506,0
462533,234218,46197,10376,46197,22605,30596,72656,0
67393,138749,63169,43224,63169,38780,7491,73058,0
890441,159238,2999,13904,2999,5946,1104,155712,1
1310574,128264,96852,11200,1576,69123,1017,537149,0
42311,29670,2919,4982,2919,7003,2393,2786,1
61780,16072,6791,38165,6791,3429,4928,2146,1
4201,55574,6596,7171,6596,1611,1876,60522,1
815488,124900,59247,17888,59247,23988,4986,339084,0
39368,24450,10427,12773,10427,4146,1922,55538,1
410465,3330,10510,7923,10510,2508,2690,424,0
773052,180025,10205,2687,10205,11263,13059,2926,0
23495,47586,50932,9991,50932,5494,2793,62664,1
1099950,113559,25924,22627,25924,13006,18976,13294,0
