delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,middle_gamma,classification
18614,11114,2903,1801,2903,1252,1244,1162,1
635242,35760,35187,8071,35187,4207,1237,125633,1
635242,35760,35187,8071,35187,4207,1237,125633,1
2489126,181668,61708,19828,61708,7034,6861,3170,0
10788,12087,18135,7177,18135,15164,8824,64931,1
270044,99507,11621,25920,11621,19177,5560,594112,1
399962,11205,5123,4112,5123,719,280,61893,1
1730,15033,23026,5136,23026,9269,2721,28074,1
312455,663688,35360,336759,7390,278045,5394,1472857,0
38988,17661,4694,21165,4694,4202,4637,49187,1
824290,174391,54006,29162,54006,26705,38973,17905,0
22861,31291,135942,21484,135942,10647,1174,75858,1
51349,31664,53380,7380,53380,11009,5323,1865,0
89759,57204,62012,3792,17480,6747,8620,42826,0
1248403,444629,160967,1809,3579,140451,931,864294,0
154747,25656,4197,8993,8967,2845,908,77306,0
1056254,25882,15962,835,15962,2640,569,1148,1
1556522,278722,24907,13070,6207,113979,3146,990615,0
124858,64418,23138,8941,23138,10979,2495,637606,1
492226,293030,56584,118727,56584,51571,816,575538,1
338417,12659,2480,363,2480,1615,2078,188417,1
1708371,537011,32118,60380,32118,19517,16735,780605,0
2405630,341921,9233,54013,9233,27889,13026,20352,1
8257,18333,7617,1982,7617,23708,7879,68804,1
1068030,180307,19612,10128,19612,7664,8056,616031,1
39449,41183,5143,12963,5143,19746,13748,115772,0
106972,20678,12502,1596,12502,5668,2568,2841,1
127359,18834,4521,26143,4521,5057,2159,1280,1
1261116,584114,35251,29995,35251,16001,8690,751487,1
906006,41027,20614,12214,20614,3956,3884,148506,1
9641,17451,6851,9772,6851,8286,1345,681921,1
13219,24349,12660,9048,11263,14846,4995,456792,0
263190,15649,37713,23147,37713,5428,2272,2018,0
969841,204328,14992,18522,14992,6636,7622,698835,1
193026,25268,10782,9743,10782,4000,1659,634870,1
69785,38130,19788,6935,19788,15391,11158,624389,1
521308,50327,10897,13755,10897,5558,13496,552621,1
590508,87157,48837,10124,48837,51050,4246,209022,0
255610,62546,32690,7045,32690,11216,7310,7197,0
1559013,103626,157937,99359,77218,151176,263342,151788,0
162310,116452,66796,30538,66796,24542,22730,16857,0
486592,198900,9990,11663,9990,7812,2696,4428,1
253953,132014,32067,86171,24542,21446,4103,404304,0
771451,180583,5184,3005,5184,10724,18328,602712,1
244671,65493,37009,19787,37009,32211,42065,18971,0
17848,17078,12727,46813,12727,3382,7676,5788,1
1730,15033,23026,5136,23026,9269,2721,28074,1
506788,87134,40361,7193,40361,4692,1635,174544,1
44183,64734,19106,68123,19106,13604,24019,128354,0
10218,21720,32565,23337,32565,13685,7323,34662,1
20984,17782,6799,4634,6799,10942,5059,18658,1
596445,519410,31461,82724,31461,28883,11792,736190,0
918601,59738,35181,49183,35181,17285,11144,329829,0
3598743,223352,31552,93179,31552,28184,11670,17143,0
250694,19071,16175,8013,16175,1307,644,959,1
735759,412585,40068,36015,19695,33115,2938,492589,0
30800,8725,2141,5929,2141,3266,2783,1665,0
14910,2476,14646,4539,14646,7468,15748,80211,1
31504,7081,14397,21885,14397,7459,9845,4839,1
14624,23092,4676,17815,11575,6923,3450,368713,0
2227479,38765,98875,13149,17134,19718,3293,430276,0
451811,727599,61127,41050,61127,17580,6047,694246,1
651065,88864,17674,8633,17674,10149,4344,3766,1
63441,34906,15703,4714,15703,3201,1000,62904,1
28691,14695,8881,24182,8881,4636,4641,157439,1
65720,252371,16228,10634,16228,21483,7272,546418,1
499268,25742,10955,15118,3255,6408,874,104361,0
7219,17384,19435,39157,19435,3918,8090,15889,1
116061,27257,3162,2033,3162,2173,560,789,0
258353,1358,1348,1143,1348,421,309,137,1
165424,30413,9713,1741,2905,1258,2156,119509,0
1261116,584114,35251,29995,35251,16001,8690,751487,1
655,30627,30008,28317,30008,13477,2372,69106,1
221015,28808,6035,6292,6035,5150,1782,23277,0
1093728,73966,39169,15658,39169,9360,4458,2389,0
92762,9383,8246,24594,8246,5343,2649,4946,1
97276,44815,1669,3325,1669,2287,603,168760,1
6802,6500,4896,12241,4896,16891,3614,20453,1
362340,30423,58280,28432,58280,25833,8248,83590,0
77988,5138,6558,2078,6558,648,152,193,1
2978526,139895,94901,25233,94901,18902,26615,9356,0
44999,12234,5930,5524,5930,16334,5478,22160,1
41668,18620,11789,3787,11789,8677,1515,4932,0
1705023,164263,28426,17975,28426,12584,6104,2433,0
75033,9711,5304,1739,5304,12422,6596,16821,1
1750651,148660,42832,29998,42832,26457,7744,311683,0
94216,16697,19593,9378,19593,8777,6754,2136,1
311952,521831,8366,245845,5071,237776,2633,1069091,0
70835,27851,16212,1745,16212,16811,10087,54825,1
383087,28943,4855,2695,4855,2592,929,897,0
1122962,90868,32548,25356,32548,39372,1348,407310,0
26184,23548,13067,16339,13067,19786,7579,6993,0
224199,467150,54778,38106,54778,9704,4229,660014,1
401575,54758,23348,7034,23348,54144,15937,43550,1
594054,539482,30726,129351,21839,24496,38929,221866,0
115907,122779,17580,9120,17580,9831,4622,1457,0
420689,68505,36351,15316,36351,18214,10926,77571,0
77277,31849,4988,3306,1224,2096,888,80837,0
7918,15061,5357,5063,5357,10778,6081,106167,1
338417,12659,2480,363,2480,1615,2078,188417,1
78829,219438,42684,19216,42684,12237,13108,580107,1
653465,115937,2608,9715,2608,4865,4003,1740,0
145404,366088,18889,57487,18889,7868,12663,696289,1
196100,106924,38599,36481,38599,31452,1377,618307,0
4319,17976,12866,15099,4194,5191,1904,464493,0
5767,10279,7808,13421,7808,6634,7244,2776,0
1259678,346946,34938,70355,34938,104387,48992,42665,1
1140776,22081,2272,15939,690,4332,193,89362,0
1850694,15801,67564,18463,35467,20202,2962,427445,0
193026,25268,10782,9743,10782,4000,1659,634870,1
222877,33871,19742,3832,19742,2990,1565,64045,1
13688,12996,4460,3379,4460,17487,4786,97741,1
451614,217468,54555,28142,54555,28895,12905,5988,0
137797,32654,10544,13270,10544,7854,2493,672668,1
108348,58733,9649,14802,9649,18436,15026,81506,0
62245,24015,11928,6351,11928,5477,4459,2469,1
24911,32229,3525,7854,3525,13188,5906,188299,0
277382,254407,7530,17709,7530,5291,5143,651645,1
666870,947118,7863,395374,2165,137526,2400,913091,0
1575099,151486,31954,33583,31954,17047,5509,7636,0
2192132,344784,18059,39790,18059,74683,58801,18540,1
85337,30748,13241,4435,7645,8970,2904,350456,0
1198084,518555,108521,53588,43618,5139,4440,386966,0
468589,184631,38546,32421,38546,35214,24694,566363,0
18614,11114,2903,1801,2903,1252,1244,1162,1
605986,148067,3302,11665,3302,24949,8258,3405,0
461010,128459,22118,20218,22118,8711,11910,17188,0
1019068,43516,40162,1000,40162,8778,9308,3002,0
1205472,189586,192934,158436,192934,78388,16372,33937,0
16244,4809,6174,34982,6174,8390,1763,2665,1
103648,34516,6798,12884,6798,14112,5272,706571,1
1256276,13870,27004,18514,27004,9106,2150,133796,1
2323552,40621,30078,12393,30078,5540,2841,178962,0
451243,13838,1450,5646,1450,1085,1079,46393,1
3076,8646,8200,13005,14206,3212,6175,370582,0
668491,315600,134613,17088,5301,97777,2005,760534,0
4632,18523,68207,12235,68207,18903,1431,41570,1
459124,113289,36557,50616,36557,26252,9272,61777,0
40829,254864,4036,79364,872,47528,1306,258184,0
701482,347553,62416,58727,12872,18087,9767,124046,0
986238,209480,160459,33571,160459,14056,2600,533270,1
198823,52171,13611,10575,13611,5099,2776,663206,1
20054,29861,14698,50166,14698,3454,6651,4378,1
62061,10390,17674,12241,6208,14190,3900,394924,0
1450720,412931,32509,13422,65978,11326,8740,775783,0
50232,57870,25213,9734,25213,9746,8008,686513,1
218354,77650,17805,9476,17805,4441,4096,145487,1
759978,48736,11545,12794,11545,5664,9070,6870,0
93096,5649,723,2864,723,765,561,655,1
69503,30160,2350,9226,2350,4783,2769,173777,1
648352,68726,62579,37766,62579,9627,8944,642043,1
2701492,50614,2658,6586,2658,15332,7883,5260,0
85337,30748,13241,4435,7645,8970,2904,350456,0
901081,586397,195650,60249,33500,28263,22767,356974,0
1124811,136504,36339,38575,9683,15021,11705,98215,0
1750738,92723,55607,39792,4269,17479,5693,365555,0
16563,16818,7735,21068,7735,13551,4965,35561,1
1777848,160910,38479,15215,38479,15581,4811,696867,1
165581,21937,1535,2282,3338,3534,2064,82751,0
440019,27756,19775,48014,19775,19171,6292,561496,1
1159259,35195,31100,65012,40651,15715,5123,258199,0
1166044,386263,51527,86167,51527,38732,28648,27166,0
178773,21161,15803,12175,15803,5726,1667,52956,1
779161,102137,111954,31876,31136,17564,16553,154951,0
66391,53733,17107,27624,17107,5386,2011,1677,1
1607869,761218,147582,147351,9273,69462,11025,960350,0
1789125,168585,14291,41932,14291,13170,10776,3051,0
1003508,261238,8046,70199,8046,17418,11088,575233,1
36828,16888,2938,3050,2938,1236,685,30880,0
336331,17519,12200,53875,12200,23577,4737,147571,1
63544,21607,7216,5970,7216,10177,6639,101769,0
26820,9886,4460,4151,4460,3277,1613,566,1
28778,17745,17746,4599,17746,5561,1016,2367,0
9599,15831,7212,2874,7212,6950,3702,671944,1
95634,56972,4391,5309,4391,2353,528,287,1
106570,61320,4697,17944,4697,3244,3906,4644,1
80883,22082,30543,8638,30543,7441,4695,692483,1
562240,71356,5179,45970,32653,4321,4988,60347,0
898800,123621,26508,39354,26508,9252,4439,2945,0
28290,38195,4424,106063,4424,7025,5367,1741,1
675837,236444,54166,7950,2978,109099,4122,858742,0
1478,29928,35500,19121,35500,10967,2687,51347,1
333310,25402,200,2519,200,1304,903,97386,0
124858,64418,23138,8941,23138,10979,2495,637606,1
142011,12512,2622,726,2622,1738,3178,2040,1
224017,137277,38796,9443,38796,13109,32076,120961,0
218515,34543,9067,2620,3821,6429,998,122644,0
144630,15562,2623,2873,2623,1390,1165,38953,1
750426,336120,156892,236793,156892,27773,53988,53045,0
222877,33871,19742,3832,19742,2990,1565,64045,1
557967,67526,13767,9151,13767,18399,3088,754238,1
48239,15895,14153,6243,14153,5906,1887,2739,1
4254,11496,8128,54140,8128,7507,5486,1755,1
47180,33826,14446,6945,14446,6947,7195,38841,1
1212313,40617,10485,4029,4064,8692,712,180486,0
323601,282479,3346,44845,3346,99015,34574,21922,0
386820,20891,22375,12945,22375,10357,6512,17729,1
17110,12467,11720,12454,11720,13648,10889,106181,0
14104,11702,10092,10703,10092,10936,7595,48925,1
24589,14457,5079,98056,5079,2849,1834,2566,1
1083648,359110,32592,77713,32592,15211,10849,811577,0
55705,6607,2201,9702,2201,1780,607,967,1
77727,6917,6764,6092,2834,2765,2660,44304,0
5210,20419,16567,6034,16567,6343,3941,38085,1
227848,15577,9202,2842,9202,3074,602,63603,1
859631,36364,5109,4930,5109,5535,5600,2841,0
154114,48035,8757,20301,8757,4097,3793,761,0
1750738,92723,55607,39792,4269,17479,5693,365555,0
441939,125260,30244,54345,30244,9459,12741,716274,1
256115,30215,7750,6451,4239,1583,2432,45726,0
102302,36545,5352,3698,3429,2164,639,54623,0
747559,202573,38890,16740,38890,8414,5394,191619,1
738015,238907,50726,78609,50726,9287,4238,925312,1
1838000,39369,48454,16144,48454,14202,6925,701634,1
9599,15831,7212,2874,7212,6950,3702,671944,1
233679,63872,10184,6142,10184,7562,2636,31583,0
907751,79606,7234,45006,27116,3771,5026,170744,0
88548,131735,3215,59254,624,42945,1278,260809,0
1434512,540712,90623,37265,90623,30225,21847,46257,1
835104,411011,262751,174184,47403,74557,15324,1023714,0
11507,33502,2600,4636,2600,4472,3264,28382,1
535109,141863,45952,25786,9074,7114,3434,334960,0
906006,41027,20614,12214,20614,3956,3884,148506,1
1298,10714,17032,12152,17032,4779,4755,157016,1
46897,3942,1221,3305,1221,691,717,16641,0
199150,17389,3102,2769,2684,2339,2762,96151,0
1047755,41582,6613,3297,6613,2299,1285,9269,0
906006,41027,20614,12214,20614,3956,3884,148506,1
1764,6746,3109,2778,3109,5924,4999,30547,1
1632027,208203,36770,75445,36770,88051,24984,332842,0
57846,9023,2049,13535,2049,2027,1093,559,1
1024995,160824,19590,29988,19590,9492,8802,229738,0
330752,264146,24711,24044,24711,10790,2166,597072,1
1781724,714839,688042,26259,13844,366936,4234,1884956,0
314974,87642,11626,15171,11626,7486,7312,677890,1
216838,14901,1880,6845,1880,1435,2518,1053,0
1709733,160526,2228,42171,2228,14862,12697,635192,0
94197,50822,45170,10473,45170,7808,3349,5097,0
3064,22687,7191,25747,7191,31289,3205,66908,1
277382,254407,7530,17709,7530,5291,5143,651645,1
668658,185544,3647,31328,4510,38555,4207,268379,0
2071617,159185,38228,14591,5927,11360,4349,389770,0
590508,87157,48837,10124,48837,51050,4246,209022,0
771621,207303,73844,27340,11045,31723,6597,538136,0
1083648,359110,32592,77713,32592,15211,10849,811577,0
2870,17722,3674,7419,3674,5820,3531,29841,1
8836,10034,18318,1785,18318,8478,2501,25639,1
32105,95338,5269,34840,5269,6175,3436,2431,1
2600,13980,17874,18596,9605,38945,3125,161259,0
222127,56413,8318,33091,8318,12000,8626,6019,0
289832,19675,5501,2203,5501,1916,412,64387,1
25753,49734,34809,44383,21523,29229,17936,159508,0
7219,17384,19435,39157,19435,3918,8090,15889,1
18053,41939,14532,18741,14532,29023,4897,49849,1
11163,14008,6311,2559,6311,10259,5365,28210,1
952337,169027,42265,30504,42265,79584,2891,3922,0
52660,79164,10039,4440,10039,15662,5714,17962,1
414047,62003,24298,13569,24298,37451,15424,34825,0
164482,55149,31434,15048,31434,5934,19664,591562,1
324354,18644,1060,10702,1060,4776,2263,760,0
2268,8585,15258,19233,15258,13543,14850,91857,1
1577723,148034,40441,77261,10415,9096,1606,308406,0
176694,5118,1250,1101,1250,721,448,219,1
1495282,86221,20115,21647,15725,9048,5106,240287,0
424256,133250,51821,54952,51821,28120,12335,6344,0
314290,38283,4914,5424,4914,2498,1707,510,0
675837,236444,54166,7950,2978,109099,4122,858742,0
245585,73707,50453,3603,50453,36114,939,228974,1
205871,13403,10829,2635,10829,1378,3547,146928,1
1236931,1078238,184789,132499,58740,47552,6127,1253522,0
581993,78216,7683,19060,7683,9548,3189,142109,0
11016,14258,8823,6646,8823,12001,8436,24310,1
108653,85916,21753,7296,21753,9049,4927,1718,0
17157,28042,12438,14592,12438,38430,23622,44973,1
1130,35035,15781,17098,15781,4233,1791,40371,1
187389,123783,39838,32915,64486,6136,2426,379313,0
919091,150497,143393,5538,8568,93123,1307,775286,0
221344,231983,118531,128974,118531,10984,8986,2765,0
646903,57841,32395,7043,32395,5077,5328,663712,0
748423,59433,1331,7870,1331,4087,3165,2889,0
218061,10823,3683,1078,3683,816,329,39341,1
1259678,346946,34938,70355,34938,104387,48992,42665,1
8627,19916,22485,6925,22485,3213,1045,72949,1
2239702,358661,45399,92663,45399,12822,15497,12673,1
93725,16741,4705,25400,4705,4152,1804,4743,1
289370,56922,9043,9936,9043,4399,2512,2448,0
106672,27820,45206,8913,45206,12149,11285,8295,0
25398,212776,16832,24287,21277,5784,2182,43116,0
218354,77650,17805,9476,17805,4441,4096,145487,1
1763130,797407,52219,19535,52219,30302,20250,7015,0
4967,22392,23092,11301,23092,23903,6321,33544,1
2096,18934,15819,11856,15819,4506,4447,32417,1
20301,6063,17974,6330,17974,21630,6872,123901,0
166073,32488,4781,5699,4781,7391,8304,4564,1
157780,82906,10365,23412,10365,7256,4169,6099,1
416575,42748,15548,3976,15548,6088,3184,152333,1
60492,25407,9243,29880,9243,13382,7203,40442,1
63277,21286,10049,1791,10049,8439,5464,13525,1
32872,30159,61770,2900,61770,17676,18102,31296,1
236606,28499,7244,3302,7244,5660,3721,705053,1
121420,77574,16451,5160,16451,3676,5354,3336,1
1800567,586107,113291,132738,63873,88377,6201,1985705,0
547182,24108,9357,8510,9357,1285,624,66405,1
668491,315600,134613,17088,5301,97777,2005,760534,0
1601956,684451,35720,67312,35720,51059,48014,84811,1
96569,60040,25513,11878,25513,5433,4982,22376,0
2412765,49795,13535,26275,4107,7503,2548,216637,0
341326,30663,2600,11713,2600,9216,2480,4246,0
1768826,499496,154434,197533,154434,46010,104215,501819,1
204367,21757,4494,80251,4494,9149,8107,3964,0
46944,65657,5780,34921,6575,16451,1809,363963,0
854163,119432,23096,16163,23171,21092,19681,670191,0
17466,16761,9466,15270,13774,13372,14170,240253,0
258353,1358,1348,1143,1348,421,309,137,1
1071335,297118,50082,22575,50082,7694,10742,7427,0
839194,108966,16304,11498,16304,7221,9588,5650,0
1071335,297118,50082,22575,50082,7694,10742,7427,0
680496,36092,34940,14962,34940,4186,5548,170847,1
612386,203218,16614,31711,16614,20335,6636,402056,0
298292,42305,5168,7957,5168,6288,10676,743420,1
166790,92435,5778,5153,5778,15830,3482,136694,0
27402,22172,6105,12417,6105,5729,6250,2716,0
4201,55574,6596,7171,6596,1611,1876,60522,1
1357687,33391,6737,17779,6737,20740,10952,8848,0
13544,8534,16738,23054,13168,10672,3289,24709,0
32125,14465,6390,6452,6390,4885,2598,1101,1
386258,357380,49285,48816,13787,20354,1261,436417,0
1605897,81048,18766,21974,18766,3329,3950,797,0
218061,10823,3683,1078,3683,816,329,39341,1
487543,79272,2430,9487,2430,3055,2672,237387,1
531106,21995,28192,14860,28192,16745,6256,24055,1
8328,30995,142030,41790,142030,46633,15301,66571,1
51104,105013,36061,7154,36061,5867,8138,588359,1
291383,102293,24432,2334,24432,6863,3765,3551,1
22384,10696,25483,6783,5110,4096,3949,336153,0
61848,9927,1130,351,1130,1237,452,520,0
4865,4798,15496,14057,15496,34069,6114,95149,1
97919,10696,2737,4271,2737,509,756,263,0
802022,300343,66198,109640,66198,23456,4493,10119,0
30261,41883,6078,12644,6078,7012,3376,87035,1
44584,4817,1937,31421,1937,5085,2538,3043,1
94216,16697,19593,9378,19593,8777,6754,2136,1
445956,140370,62832,44638,62832,9260,10130,104204,0
2007218,693508,33218,44393,33218,51875,24740,11969,0
5970,40797,30383,23003,30383,9229,2467,46970,1
726757,439977,180019,66031,14651,259984,5186,1311060,0
164482,55149,31434,15048,31434,5934,19664,591562,1
89970,61856,64011,14066,64011,11634,4973,631428,1
102933,30027,10474,24024,10474,8442,3262,2224,1
130447,71157,6644,39293,6644,15840,11601,12146,0
562240,71356,5179,45970,32653,4321,4988,60347,0
97247,159529,46456,90362,46456,38757,14032,128114,0
82613,41674,52112,50000,52112,6185,3256,1750,0
961786,166135,4004,11856,4004,13397,5554,2858,0
5587,13707,6291,3816,6291,1693,152,769,1
16057,41211,2534,34254,2534,27663,11396,2825,0
17676,27704,60050,15606,60050,20186,17334,120940,0
50442,13506,6136,30594,6136,3783,4584,1058,1
571621,42973,42676,12628,42676,9151,2467,2454,0
205871,13403,10829,2635,10829,1378,3547,146928,1
4865,4798,15496,14057,15496,34069,6114,95149,1
22384,10696,25483,6783,5110,4096,3949,336153,0
321354,22200,22645,1389,22645,8208,2878,1234,0
1148349,160354,20829,7399,20829,18636,4456,193595,1
1093065,82401,22760,13835,22760,19337,5990,3057,0
1623822,595053,30493,84445,23786,71446,25749,643393,0
145404,366088,18889,57487,18889,7868,12663,696289,1
129168,254688,167622,16665,167622,75054,3078,694044,0
254922,57089,5298,6116,5298,1958,731,58792,1
355313,29432,2766,6469,2766,1525,1591,68347,1
82778,48489,16081,7244,16081,8971,3217,1034,0
31400,217521,3073,134548,1814,60211,1030,347583,0
96533,30564,9571,14900,9571,6333,2264,1420,0
2493517,194211,66840,68020,28677,24442,4107,383008,0
854163,119432,23096,16163,23171,21092,19681,670191,0
486821,120568,109508,8940,5053,67364,3091,828198,0
1056254,25882,15962,835,15962,2640,569,1148,1
99174,9216,2419,50296,2419,7810,4636,4663,0
77988,5138,6558,2078,6558,648,152,193,1
1078770,162909,35532,57687,35532,12665,7059,655404,1
10642,16327,9781,12126,12502,16798,21765,177828,0
4692,3708,10308,5787,10308,9107,15163,41621,1
123919,147399,58415,7743,3475,54298,1111,311132,0
207763,81879,29750,44740,33741,14396,10943,67386,0
642330,57855,21499,10643,13590,8882,7275,42020,0
62504,9564,47379,38705,47379,8947,8365,2714,0
321354,22200,22645,1389,22645,8208,2878,1234,0
121420,77574,16451,5160,16451,3676,5354,3336,1
1536790,13820,5554,7051,5554,2964,1329,145459,1
60221,5617,7890,11811,7890,3721,1247,542,0
14721,34720,21102,17160,21102,16520,4749,93035,0
89895,53730,9845,32270,9845,12938,4721,2203,0
2239350,586482,34334,330377,34334,53530,55783,29740,0
131133,18259,14917,13849,14917,18567,8836,24303,1
65108,21398,1816,1356,1816,946,1516,32538,1
453749,48668,58599,34188,58599,8715,4084,6645,0
143162,12074,6702,6466,6702,2896,367,57265,1
324868,21695,4448,1878,4448,2288,506,59304,1
833965,802513,37147,247458,2324,212471,3587,1138726,0
980729,237704,11395,30762,11395,12603,6593,706411,1
1559013,103626,157937,99359,77218,151176,263342,151788,0
268189,41869,5159,12301,5159,8001,3438,621857,1
906006,41027,20614,12214,20614,3956,3884,148506,1
876033,44907,35873,8746,35873,6193,3602,4463,0
409735,85553,8097,18218,8097,9552,4019,356056,0
590358,243590,9329,21354,9329,14123,9376,696433,1
550985,8313,6105,9725,1338,1616,308,63948,0
299162,94849,34800,20815,34800,9481,4647,119120,0
81104,40632,29432,3880,29432,4756,4256,2017,0
249100,75918,13599,17410,13599,5858,1540,216857,1
1079012,211773,71868,27308,15855,25740,2288,389570,0
17119,46324,20008,4170,20008,2979,2730,71422,1
80246,41617,21478,20237,21478,8248,12349,7279,0
250694,19071,16175,8013,16175,1307,644,959,1
326595,30223,9539,56758,9539,21645,28542,5980,0
224779,32300,15227,34782,15227,3848,3457,2430,1
769945,618155,121039,26795,121039,91823,3444,817061,1
1493712,120237,44333,59341,44333,19014,19332,540352,1
130777,317059,37703,47410,37703,22282,19638,97211,0
2879860,78883,66472,49164,66472,19486,18325,525506,1
1789125,168585,14291,41932,14291,13170,10776,3051,0
20665,29556,8437,56779,8437,29634,8735,100446,0
523116,98079,57472,4995,57472,38201,3663,553862,1
2663,27167,53309,36563,53309,26900,7303,130504,1
249998,63244,31835,5088,31835,8984,1781,97745,0
291155,12202,35061,35628,35061,26188,12732,40852,1
19022,28258,855,6063,4410,4709,487,8546,0
6906,7941,11801,11211,11801,32345,4243,148417,1
250254,15144,5476,4622,5476,3325,1126,40926,1
2559166,220997,77792,67284,32262,68119,3510,570033,0
341644,25628,20694,4337,20694,2577,1137,9420,1
3258357,870979,64216,346275,64216,249351,68141,877848,0
2338780,242711,126160,164181,126160,44040,33944,18789,0
48414,64212,15559,10090,15559,21861,15795,9930,0
11403,5660,2432,30431,2432,4393,2338,1870,1
17249,14853,7068,11196,7068,10185,5989,34731,1
745400,168898,26356,17703,8065,5031,3917,188656,0
36484,7865,8145,5688,8145,4396,3347,3291,1
19022,28258,855,6063,4410,4709,487,8546,0
285200,71778,23510,25495,23510,2475,1448,28683,0
431528,229734,40425,15779,32247,7250,15736,672783,0
190524,29754,13667,4793,13417,8324,6423,18814,0
608478,240911,5419,63333,5419,14820,22989,825894,1
149558,40274,10493,3205,10493,6243,928,105616,0
379310,80305,13108,10641,13108,4813,1350,264754,1
253543,22327,8003,12493,8003,8860,2456,3699,1
81243,17006,4983,11361,4983,7076,9118,681826,1
866097,14213,2375,6334,2375,2010,807,1621,1
1493712,120237,44333,59341,44333,19014,19332,540352,1
1140061,221211,17255,6620,17255,7870,3025,146133,1
531106,21995,28192,14860,28192,16745,6256,24055,1
76468,14106,5487,9361,5487,6940,5039,693220,1
1560480,353102,39107,38584,39107,24071,2692,278469,0
1469049,25573,42906,36551,42906,5155,5237,209076,1
1142794,128720,3814,11954,3814,8079,2557,660325,1
1750738,92723,55607,39792,4269,17479,5693,365555,0
134176,209975,41705,5393,8383,147957,5987,829853,0
1140061,221211,17255,6620,17255,7870,3025,146133,1
38988,17661,4694,21165,4694,4202,4637,49187,1
342054,85522,27427,33273,27427,34684,44422,35746,1
157655,86671,5452,5733,5452,6942,4649,3433,0
5516,23311,14698,22184,14673,2540,2584,283682,0
569518,257701,21866,9521,7723,4521,3104,178356,0
1391007,184705,51012,17088,51012,15322,13920,571523,0
173416,58574,17972,32824,17489,11653,1303,129449,0
937320,89210,7179,11858,7179,2988,866,20007,0
63014,33673,1517,3400,1517,2056,1430,553,1
7057,17051,7813,4055,7813,24249,11955,76953,0
18028,19762,4692,11101,4692,6065,4503,13976,1
52141,23967,7469,6449,7469,5151,6020,2891,0
31348,10809,38812,31505,38812,23382,5535,82158,1
14814,10952,8958,18533,8958,7539,8659,14121,1
910528,106675,29257,25506,29257,11144,10966,293419,0
873601,82004,13277,9238,13277,5527,3027,4402,1
94531,7603,1948,4794,1948,8040,3489,2580,1
240259,27650,1977,2625,1977,2029,854,4400,0
26074,42165,13863,36645,13863,4554,2522,2616,1
1961549,957322,132740,109910,132740,91024,23202,28460,0
30601,12548,32781,4208,32781,9486,3626,62841,1
1494822,131510,79863,21876,14096,40335,5888,185060,0
5746,21099,6072,6047,6072,16819,2061,67104,1
45503,18125,3669,14754,3669,9249,3096,50591,1
94020,7978,2033,926,2033,249,99,14887,1
910528,106675,29257,25506,29257,11144,10966,293419,0
1359666,417283,90150,9608,11896,246663,15687,1331816,0
934899,38253,12615,18329,12615,6213,2468,4778,0
2239350,586482,34334,330377,34334,53530,55783,29740,0
1308037,54002,36005,67837,36005,37744,49571,9646,0
130092,83286,5683,9005,5683,7068,11340,629162,1
49237,17696,14627,21593,14627,5280,1891,2517,1
1305603,223593,108594,19476,9981,22120,2893,467976,0
7663,11185,10612,11502,10612,3644,1703,1160,1
611565,541164,8131,73170,8131,86123,11434,1018738,0
375059,29915,3971,2627,3971,4362,1083,35910,1
11825,7879,3020,3977,3020,6590,3897,45687,1
889165,95671,26556,1542,12131,3791,4541,186201,0
15968,9324,4258,11005,4258,4691,5556,12871,1
853723,152954,20153,81161,20153,36516,32458,12660,0
1601956,684451,35720,67312,35720,51059,48014,84811,1
24824,42009,15067,13400,15067,16356,7949,102373,0
11507,33502,2600,4636,2600,4472,3264,28382,1
691198,22728,11018,4566,11018,2724,1915,1519,0
988969,96379,24270,13646,24270,15311,12911,15791,0
1732486,30051,28221,32614,11356,26405,41617,133748,0
52597,45576,5298,4274,5298,9237,5133,617590,1
249998,63244,31835,5088,31835,8984,1781,97745,0
1352830,933371,189409,64181,189409,76010,54149,24471,0
196898,14859,4555,5603,1911,1691,1162,51617,0
95735,17284,3274,882,3274,6860,3225,25159,0
198670,183334,17134,7240,17134,14661,13248,82096,0
791464,38823,43569,5871,43569,5166,7427,158961,1
518853,464248,378111,23074,10352,154034,2479,1069849,0
18277,6888,5596,27176,5596,8011,751,2567,1
48238,26664,28455,20410,28455,12111,7379,109493,0
237378,45526,15483,4192,15483,5807,4089,59445,0
6573,13295,65143,25702,65143,26856,15702,20525,1
1115903,32674,3090,31864,3090,12555,4745,3066,1
332473,29205,6022,5125,1852,1554,3133,32974,0
54479,7727,13540,14779,13540,1628,993,1708,0
955175,411115,24183,88517,24183,23089,4754,291476,0
8084,12554,18616,11919,18616,4702,5379,23379,1
2559166,220997,77792,67284,32262,68119,3510,570033,0
290565,11126,10157,1851,10157,2597,1301,1579,0
12225,21903,16386,6463,16386,15495,5346,164444,1
12286,25509,103385,17876,103385,12420,5252,43228,1
839194,108966,16304,11498,16304,7221,9588,5650,0
39534,317825,2716,9924,2716,6745,6654,2786,1
17741,66123,28255,14636,9468,44942,13397,178521,0
333472,30181,18057,4312,18057,5988,10184,10156,1
1611696,420198,106489,48409,106489,27298,11759,516347,0
1155051,88352,7465,6994,7465,3817,4030,3912,0
227787,49645,7777,6385,7777,3135,2892,85522,0
164482,55149,31434,15048,31434,5934,19664,591562,1
18277,6888,5596,27176,5596,8011,751,2567,1
241229,32257,35791,32585,35791,21017,15300,67334,1
12017,20051,13075,10899,13075,11194,5611,16419,1
